,job_id,canonical_tag_id,tag_name
0,7773,324,Python
1,7773,142,ETL
2,7773,39,Big Data
3,7773,169,Hadoop
4,7773,383,SQL
5,4852,414,Test Automation
6,4852,194,Java
7,4852,195,JavaScript
8,4852,409,Team Oriented
9,4852,228,Manual Testing
10,5452,492,Network Security
11,5452,195,JavaScript
12,5452,273,Node.js
13,5452,309,PostgreSQL
14,5452,19,Amazon Web Services (AWS)
15,6199,339,Ruby on Rails
16,6199,338,Ruby
17,6198,159,Git
18,6198,398,SWIFT
19,6198,277,Objective-C
20,6198,187,iOS
21,7682,295,OutSystems
22,7682,502,Continuous Delivery
23,6434,328,R
24,6434,383,SQL
25,6434,169,Hadoop
26,6434,324,Python
27,5237,195,JavaScript
28,5237,1,.NET
29,5237,333,React
30,5237,273,Node.js
31,5237,383,SQL
32,7034,174,HTML
33,7034,307,PHP
34,7034,213,Laravel
35,4029,22,Android
36,4029,508,Kotlin
37,4029,194,Java
38,7246,164,Google Analytics
39,7246,307,PHP
40,7246,174,HTML
41,7246,411,Technical Support
42,7246,195,JavaScript
43,7749,159,Git
44,7749,336,REST APIs
45,7749,496,Hibernate
46,7749,194,Java
47,6599,216,LESS
48,6599,153,Front-end
49,6599,174,HTML
50,6599,333,React
51,5847,19,Amazon Web Services (AWS)
52,5847,169,Hadoop
53,5847,352,Scala
54,5847,324,Python
55,5847,509,Spark
56,6561,336,REST APIs
57,6561,174,HTML
58,6561,195,JavaScript
59,6561,90,CSS
60,6561,383,SQL
61,5992,330,Razor
62,5992,90,CSS
63,5992,174,HTML
64,5992,195,JavaScript
65,5828,210,kubernetes
66,5828,194,Java
67,5828,352,Scala
68,5828,415,Test Driven Development
69,5559,324,Python
70,5559,272,NLP
71,5559,476,Computer Vision
72,5559,225,Machine Learning
73,5559,383,SQL
74,5755,383,SQL
75,5755,324,Python
76,5755,102,Data-analysis
77,5125,194,Java
78,5125,383,SQL
79,5125,353,Scrum
80,5125,382,Spring
81,5125,19,Amazon Web Services (AWS)
82,6896,505,Vue.js
83,6896,383,SQL
84,6896,415,Test Driven Development
85,6896,1,.NET
86,6896,298,Pair Programming
87,7601,174,HTML
88,7601,90,CSS
89,7601,23,AngularJS
90,7601,195,JavaScript
91,5741,117,DevOps
92,5741,220,Linux
93,5741,198,Jenkins
94,5741,124,Docker
95,5741,478,Unix
96,7554,161,Go
97,7554,194,Java
98,7554,324,Python
99,7554,195,JavaScript
100,7553,333,React
101,7553,195,JavaScript
102,7553,505,Vue.js
103,7396,433,UX Design
104,7396,252,Mobile Design
105,7396,429,User Interface Design
106,7396,306,Photoshop
107,6455,318,Product Owner
108,6455,341,SaaS
109,6455,62,Cloud Computing
110,6455,316,Product Management
111,7775,336,REST APIs
112,7775,51,C#
113,7775,375,Software Development
114,7775,1,.NET
115,7092,418,Testing
116,7092,326,Quality Assurance
117,7092,259,Mobile Testing
118,7384,72,Communication Skills
119,7384,143,Event Marketing
120,7384,300,Partnership Development
121,7384,144,Event Planning
122,7616,80,Conversion Optimization
123,7616,356,SEO
124,7616,163,Google Adwords
125,7616,310,PPC
126,6082,336,REST APIs
127,6082,507,Elixir
128,6082,156,Functional Programming
129,6082,309,PostgreSQL
130,6082,307,PHP
131,5963,23,AngularJS
132,5963,195,JavaScript
133,5963,309,PostgreSQL
134,5963,505,Vue.js
135,5963,336,REST APIs
136,6081,156,Functional Programming
137,6081,507,Elixir
138,6081,336,REST APIs
139,6081,307,PHP
140,6081,309,PostgreSQL
141,6086,336,REST APIs
142,6086,406,Team Leadership
143,6086,249,Mobile Applications
144,6086,67,CocoaPods
145,6086,398,SWIFT
146,6084,22,Android
147,6084,194,Java
148,6084,406,Team Leadership
149,6084,508,Kotlin
150,6084,336,REST APIs
151,6083,336,REST APIs
152,6083,249,Mobile Applications
153,6083,22,Android
154,6083,194,Java
155,6083,508,Kotlin
156,5451,442,Visual Design
157,5451,429,User Interface Design
158,5451,433,UX Design
159,6827,508,Kotlin
160,6827,336,REST APIs
161,6827,194,Java
162,6827,324,Python
163,6827,341,SaaS
164,6823,174,HTML
165,6823,23,AngularJS
166,6823,273,Node.js
167,6823,341,SaaS
168,6823,333,React
169,7100,174,HTML
170,7100,195,JavaScript
171,7100,383,SQL
172,7100,324,Python
173,7100,194,Java
174,7721,509,Spark
175,7721,169,Hadoop
176,7721,471,Kafka
177,7617,333,React
178,7617,461,WordPress
179,7617,505,Vue.js
180,7269,273,Node.js
181,7269,261,MongoDB
182,7269,195,JavaScript
183,7286,195,JavaScript
184,7286,422,TypeScript
185,7286,273,Node.js
186,7286,261,MongoDB
187,7254,509,Spark
188,7254,324,Python
189,7254,328,R
190,7254,352,Scala
191,7254,169,Hadoop
192,7287,273,Node.js
193,7287,261,MongoDB
194,7287,195,JavaScript
195,7134,333,React
196,7134,261,MongoDB
197,7134,273,Node.js
198,7134,195,JavaScript
199,6847,446,Web Design
200,6847,252,Mobile Design
201,6847,322,Prototyping
202,6847,442,Visual Design
203,6847,429,User Interface Design
204,6085,67,CocoaPods
205,6085,249,Mobile Applications
206,6085,398,SWIFT
207,6085,336,REST APIs
208,5945,194,Java
209,5945,352,Scala
210,5945,509,Spark
211,5945,169,Hadoop
212,6148,52,C++
213,6148,194,Java
214,6148,124,Docker
215,6148,273,Node.js
216,6020,194,Java
217,6020,124,Docker
218,6020,382,Spring
219,6020,198,Jenkins
220,7654,194,Java
221,7654,352,Scala
222,7654,273,Node.js
223,7654,195,JavaScript
224,7654,13,Agile Methodologies
225,5944,51,C#
226,5944,1,.NET
227,5944,194,Java
228,7538,194,Java
229,7538,352,Scala
230,7538,62,Cloud Computing
231,5946,31,ARM
232,5946,488,Powershell
233,5946,244,Microsoft Azure
234,5946,117,DevOps
235,5991,328,R
236,5991,352,Scala
237,5991,324,Python
238,5991,225,Machine Learning
239,5947,328,R
240,5947,352,Scala
241,5947,324,Python
242,5947,225,Machine Learning
243,5988,194,Java
244,5988,352,Scala
245,5988,509,Spark
246,5988,169,Hadoop
247,7537,153,Front-end
248,7537,195,JavaScript
249,7537,510,React Native
250,7537,429,User Interface Design
251,5990,244,Microsoft Azure
252,5990,488,Powershell
253,5990,220,Linux
254,5990,117,DevOps
255,5987,51,C#
256,5987,1,.NET
257,5987,194,Java
258,7200,444,VMware Infrastructure
259,7200,117,DevOps
260,7200,62,Cloud Computing
261,7200,501,Continuous Integration
262,7200,19,Amazon Web Services (AWS)
263,6954,318,Product Owner
264,6954,320,Project Management
265,6954,316,Product Management
266,5236,13,Agile Methodologies
267,5236,195,JavaScript
268,5236,333,React
269,5236,23,AngularJS
270,5236,273,Node.js
271,6910,37,Backend Development
272,6910,19,Amazon Web Services (AWS)
273,6910,62,Cloud Computing
