,id,company_id,experience_level,last_published_at,closed_at
0,7601,1798,1.0,,
1,5337,1798,2.0,2018-04-20 15:43:24.055 UTC,2019-02-22 02:00:48.379 UTC
2,6896,2055,2.0,2018-10-29 09:37:27.198 UTC,2019-02-21 10:10:17.863 UTC
3,7404,8,1.0,2018-12-28 10:28:15.081 UTC,2019-02-15 18:13:14.746 UTC
4,1940,8,3.0,2016-07-18 18:52:32.647 UTC,2016-07-26 21:13:21.113 UTC
5,7635,3083,2.0,,
6,7636,3083,,,
7,6840,2831,2.0,2018-10-22 10:22:52.841 UTC,
8,7660,2581,2.0,,
9,7641,3095,,,
10,7644,3095,,,
11,7082,1048,3.0,2018-11-21 16:34:38.917 UTC,
12,7083,1048,3.0,2018-11-21 17:15:19.651 UTC,
13,7256,2596,2.0,,
14,5985,2596,2.0,2018-07-24 08:35:09.842 UTC,2019-02-20 02:00:27.331 UTC
15,7005,1829,2.0,2018-11-22 13:12:03.727 UTC,2019-02-22 02:00:46.93 UTC
16,7664,3118,2.0,,
17,7678,3120,,,
18,7668,3120,1.0,,
19,7669,3120,2.0,,
20,7670,3120,2.0,,
21,7671,3120,2.0,,
22,7672,3120,2.0,,
23,7673,3120,2.0,,
24,7674,3120,2.0,,
25,7676,3120,2.0,,
26,7677,3120,2.0,,
27,7679,3120,2.0,,
28,7680,3120,2.0,,
29,7681,3120,2.0,,
30,7683,3120,2.0,,
31,7684,3120,2.0,,
32,7682,3120,2.0,,
33,5545,1076,2.0,2018-05-29 20:48:30.878 UTC,
34,6712,1076,2.0,2018-10-16 18:10:34.331 UTC,2019-02-18 15:35:40.013 UTC
35,6713,1076,3.0,2018-10-16 18:36:03.557 UTC,2019-02-18 15:24:01.909 UTC
36,6558,1593,2.0,2018-10-25 08:13:28.351 UTC,
37,6557,1593,2.0,2018-10-25 08:12:03.195 UTC,
38,5125,2363,2.0,2018-03-28 09:48:18.954 UTC,2019-02-21 02:01:21.093 UTC
39,5128,2363,2.0,2018-03-28 11:36:24.404 UTC,2019-02-21 02:01:18.897 UTC
40,5129,2363,2.0,2018-03-28 11:47:48.147 UTC,2019-02-21 02:01:16.039 UTC
41,5149,2363,2.0,2018-06-15 12:00:04.411 UTC,2019-02-21 02:01:15.276 UTC
42,5127,2363,2.0,2018-03-28 11:07:23.212 UTC,2019-02-21 02:01:16.942 UTC
43,5130,2363,2.0,2018-03-28 12:05:53.793 UTC,2019-02-21 02:01:17.809 UTC
44,5972,61,2.0,2018-07-20 17:17:26.877 UTC,2019-02-20 09:10:59.316 UTC
45,5874,2621,2.0,2018-07-12 14:48:34.524 UTC,
46,6910,1857,3.0,2018-10-29 18:29:00.975 UTC,
47,7466,329,1.0,2019-01-15 21:39:50.311 UTC,2019-02-13 16:58:02.226 UTC
48,6181,329,2.0,2018-08-28 11:13:50.699 UTC,2019-02-13 17:04:11.841 UTC
49,4474,2122,3.0,2017-11-22 16:43:36.536 UTC,2019-02-13 02:00:40.931 UTC
50,7093,2894,2.0,2018-11-23 13:20:59.029 UTC,
51,7661,2916,2.0,,
52,7451,2662,3.0,,
53,7452,2662,2.0,,
54,5989,2662,1.0,2018-07-24 14:32:02.261 UTC,2019-02-14 13:59:25.832 UTC
55,5236,1643,2.0,2018-04-27 12:05:55.047 UTC,2019-02-23 02:00:12.236 UTC
56,5237,1643,1.0,2018-05-16 10:46:21.188 UTC,2019-02-23 02:00:11.483 UTC
57,6817,2421,3.0,2018-10-19 14:55:35.028 UTC,2019-02-21 16:56:48.251 UTC
58,7650,1400,1.0,,
59,5896,2427,2.0,2018-07-17 13:28:59.615 UTC,
60,7457,132,2.0,2019-01-17 10:03:35.564 UTC,2019-02-22 16:26:10.599 UTC
61,6807,2198,2.0,2018-10-23 11:01:19.65 UTC,
62,4762,2201,2.0,2018-01-26 11:12:10.325 UTC,2019-02-18 11:23:04.65 UTC
63,4665,2201,1.0,2018-01-25 10:09:17.446 UTC,2019-02-18 11:19:10.107 UTC
64,6718,1947,1.0,,
65,6850,2461,2.0,2018-10-23 10:36:42.018 UTC,2019-02-22 15:15:32.812 UTC
66,5413,2461,2.0,2018-05-08 10:21:20.897 UTC,2019-02-22 15:14:40.418 UTC
67,6946,2461,3.0,2018-10-29 13:39:06.966 UTC,2019-02-22 15:15:13.636 UTC
68,2697,1452,2.0,2017-05-04 10:12:14.651 UTC,2019-02-15 02:00:16.251 UTC
69,6895,2736,2.0,2018-10-25 15:43:38.882 UTC,2019-02-13 08:34:45.235 UTC
70,6395,2736,2.0,2018-09-17 07:41:36.747 UTC,2019-02-13 08:34:04.034 UTC
71,6969,1203,2.0,2018-11-16 15:09:26.945 UTC,
72,5741,700,2.0,2018-12-28 11:39:26.974 UTC,2019-02-21 10:19:45.228 UTC
73,6874,1735,2.0,2018-10-24 16:28:15.858 UTC,2019-02-21 02:01:13.602 UTC
74,6434,1735,3.0,2018-10-18 10:10:44.261 UTC,
75,6454,2759,3.0,2018-10-15 08:54:14.143 UTC,2019-02-21 02:01:08.569 UTC
76,6464,2759,2.0,2018-10-15 08:55:22.126 UTC,2019-02-21 02:01:06.894 UTC
77,7030,209,2.0,2018-11-22 19:42:37.289 UTC,
78,7648,466,1.0,,
79,6689,2775,2.0,2018-10-16 07:13:08.873 UTC,2019-02-14 02:00:18.951 UTC
80,6688,2775,3.0,2018-10-16 07:10:29.914 UTC,2019-02-14 02:00:19.254 UTC
81,7068,2776,2.0,2018-11-20 11:25:07.028 UTC,
82,7037,2776,2.0,2018-11-20 11:25:09.104 UTC,
83,7301,2776,2.0,2018-12-12 10:48:23.009 UTC,
84,7509,3039,1.0,2019-01-22 15:51:42.218 UTC,2019-02-19 09:06:35.223 UTC
85,7510,3039,1.0,2019-01-22 15:51:40.523 UTC,2019-02-19 09:12:13.997 UTC
86,6617,2790,2.0,2018-10-08 15:32:21.748 UTC,2019-02-13 02:00:39.433 UTC
87,6618,2790,2.0,2018-10-08 15:32:20.012 UTC,2019-02-13 02:00:41.72 UTC
88,7554,3048,2.0,,
89,7553,3048,2.0,,
90,6613,235,3.0,2018-10-08 10:09:40.765 UTC,2019-02-18 16:07:54.472 UTC
91,4452,235,3.0,2017-11-20 14:53:52.668 UTC,2019-02-18 16:11:20.032 UTC
92,7622,3056,,,
93,7108,2291,2.0,2018-11-23 16:05:50 UTC,2019-02-18 17:12:23.708 UTC
94,7396,757,3.0,2019-01-14 10:33:30.823 UTC,
95,5891,757,3.0,2018-07-17 11:00:41.761 UTC,
96,4930,2294,2.0,2018-03-08 11:16:08.865 UTC,2019-02-21 02:01:20.393 UTC
97,6958,2613,2.0,2018-11-08 19:33:24.097 UTC,2019-03-09 02:00:20.951 UTC
98,4852,1229,2.0,2018-02-14 18:48:50.561 UTC,
99,5452,2468,2.0,2018-05-31 23:12:01.177 UTC,2019-03-12 02:02:35.874 UTC
100,7772,2865,,,
101,7773,2865,2.0,,
102,7721,2364,2.0,2019-03-06 16:35:52.494 UTC,2019-03-12 16:26:34.75 UTC
103,7729,2364,2.0,2019-03-06 16:36:04.646 UTC,2019-03-12 16:53:35.173 UTC
104,7775,2937,2.0,,
105,6082,2655,3.0,2018-08-09 10:31:36.037 UTC,
106,5963,2655,2.0,2018-08-09 10:32:21.171 UTC,
107,6081,2655,2.0,2018-08-09 10:32:12.843 UTC,
108,6086,2655,3.0,2018-08-09 10:30:54.982 UTC,
109,6084,2655,2.0,2018-08-09 10:31:58.361 UTC,
110,6083,2655,2.0,2018-08-09 10:31:49 UTC,
111,6827,2795,3.0,2018-11-15 11:43:51.384 UTC,
112,6823,2795,3.0,2018-11-15 11:43:56.749 UTC,
113,7100,2795,2.0,2018-11-27 14:48:39.023 UTC,
114,5451,1798,2.0,2018-12-13 11:08:17.644 UTC,2019-03-12 13:22:33.372 UTC
115,7617,2728,2.0,2019-02-08 09:31:27.194 UTC,2019-03-12 17:22:58.765 UTC
116,7616,2728,2.0,2019-02-08 09:31:29.613 UTC,2019-03-12 11:04:43.418 UTC
117,7092,2749,1.0,2018-11-30 09:32:34.096 UTC,2019-03-12 10:23:12.689 UTC
118,7384,8,1.0,2018-12-20 11:17:31.229 UTC,2019-03-12 10:58:33.645 UTC
119,6455,2759,3.0,2018-10-15 08:51:37.832 UTC,2019-03-12 02:02:36.888 UTC
120,7774,3084,3.0,,
121,7776,3158,,,
122,6329,256,2.0,2018-09-10 09:59:59.262 UTC,
123,6347,256,2.0,2018-09-10 10:00:22.602 UTC,
124,7611,513,3.0,2019-02-07 10:24:22.976 UTC,
125,7506,513,3.0,2019-01-22 15:25:09.959 UTC,
126,7610,513,2.0,2019-02-07 09:07:06.724 UTC,
127,7609,513,2.0,2019-02-07 09:07:12.723 UTC,
128,7505,513,3.0,2019-01-22 15:25:16.854 UTC,
129,5592,3,3.0,2018-06-11 16:12:16.995 UTC,
130,5590,3,3.0,2018-06-12 11:07:20.794 UTC,
131,5615,3,3.0,2018-06-12 10:29:48.982 UTC,
